dewp_temp,feat01,feat02,feat03,feat04,feat05,feat06,feat07,feat08,feat09,feat10,holiday,hour,humidity,rainfall,rented_bike_count,snowfall,solar_radiation,temperature,visibility,wind_speed,weekend,Autumn,Spring,Summer,Winter,rainfall_binary,snowfall_binary
21.6,0.8070479517336935,0.6614037693943828,0.2391798442695289,0.0295655701775103,0.285581115167588,0.919742642203346,0.6580240472685546,0.7582704320177615,0.5671325222827509,0.885346301831305,0,14,72,0.0,1030,0.0,0.91,27.1,1126,3.0,0,0,0,1,0,0,0
15.8,0.779319470282644,0.8719295484479517,0.8502848546486348,0.0100378165952861,0.5585933832917362,0.13788533792831,0.5949058930855244,0.3662006255570106,0.4440516877713639,0.8833895612042397,0,6,84,0.0,505,0.0,0.01,18.6,316,0.7,0,0,1,0,0,0,0
-19.6,0.0933426797855645,0.3236824793275445,0.6739091814961284,0.0817275927402079,0.5048987967893481,0.5662013371475041,0.3007852993905544,0.5491051399148755,0.1896868940606574,0.1377070317976176,0,23,47,0.0,115,0.0,0.0,-10.5,1794,2.8,0,0,0,0,1,0,0
-8.4,0.8753227172419429,0.9811622453853488,0.3758479829411953,0.8857884085737169,0.8659498502966017,0.9767901513259858,0.956636779010296,0.6050134292820233,0.1904897414749757,0.2932249894365668,0,1,54,0.0,280,0.0,0.0,-0.2,1747,0.5,1,0,0,0,1,0,0
-13.1,0.1699366909451782,0.0779106577392667,0.9202426767442377,0.5357554198708385,0.4355484612751752,0.2823936368804425,0.7249822362791747,0.4520285913473818,0.3574263224437303,0.465793191222474,0,5,56,0.0,84,0.0,0.0,-5.8,1941,2.0,0,0,0,0,1,0,0
-3.0,0.9898109221830964,0.5685079421382397,0.523571205791086,0.20910599315539,0.7714656314346939,0.2526803724467754,0.2839371394366026,0.6202258695686418,0.4056845480535149,0.4273134614340961,0,12,55,0.0,325,0.0,0.85,5.3,904,2.6,1,0,0,0,1,0,0
14.2,0.2975421270821243,0.6827958878129721,0.4635299206711352,0.6383420140482485,0.9965144365560265,0.0648965653963387,0.2209942061454057,0.5572084814337233,0.6526596634654643,0.1171669233590364,0,20,55,0.0,2223,0.0,0.05,23.8,2000,2.3,0,0,0,1,0,0,0
-21.7,0.6418401417322457,0.5940870295744389,0.7439953410066664,0.4419053115416318,0.4728935440070927,0.0857267735991627,0.2694523194804787,0.6821903767502077,0.6020495151006185,0.565843913005665,1,17,17,0.0,250,0.0,0.79,0.6,2000,3.3,1,0,0,0,1,0,0
-1.1,0.6888804733753204,0.1873369563836604,0.4083370117004961,0.8606492762919515,0.7535766505170614,0.5448710771743208,0.9208608884364368,0.5317142639143969,0.4071165442606313,0.9288210934028028,0,23,38,0.0,840,0.0,0.0,12.9,2000,1.5,1,1,0,0,0,0,0
13.9,0.3532489771023392,0.267088868888095,0.3501835560891777,0.5665545226074755,0.6019549136981368,0.1447996394708752,0.6928586231078953,0.501197079166159,0.4111305328596656,0.5769172301515937,0,17,98,1.5,24,0.0,0.08,14.3,270,0.7,1,0,1,0,0,1,0
