id,Date,Dew point temperature,feat01,feat02,feat03,feat04,feat05,feat06,feat07,feat08,feat09,feat10,Functioning Day,Holiday,Hour,Humidity,Rainfall,Rented Bike Count,Seasons,Snowfall,Solar Radiation,Temperature,Visibility,Wind speed
1,28/06/2018,21.6,0.8070479517336935,0.6614037693943828,0.23917984426952899,0.02956557017751038,0.285581115167588,0.9197426422033459,0.6580240472685546,0.7582704320177615,0.5671325222827509,0.885346301831305,Yes,No Holiday,14,72,0,1030,Summer,0,0.91,27.1,1126,3
2,30/05/2018,15.8,0.779319470282644,0.8719295484479517,0.8502848546486348,0.010037816595286131,0.5585933832917362,0.13788533792831004,0.5949058930855244,0.3662006255570106,0.4440516877713639,0.8833895612042397,Yes,No Holiday,6,84,0,505,Spring,0,0.01,18.6,316,0.7
3,05/02/2018,-19.6,0.09334267978556454,0.32368247932754457,0.6739091814961284,0.08172759274020791,0.5048987967893481,0.5662013371475041,0.30078529939055443,0.5491051399148755,0.18968689406065745,0.13770703179761767,Yes,No Holiday,23,47,0,115,Winter,0,0,-10.5,1794,2.8
4,10/12/2017,-8.4,0.8753227172419429,0.9811622453853488,0.37584798294119537,0.8857884085737169,0.8659498502966017,0.9767901513259858,0.9566367790102959,0.6050134292820233,0.1904897414749757,0.29322498943656683,Yes,No Holiday,1,54,0,280,Winter,0,0,-0.2,1747,0.5
5,08/12/2017,-13.1,0.16993669094517827,0.07791065773926675,0.9202426767442375,0.5357554198708385,0.4355484612751752,0.2823936368804425,0.7249822362791747,0.4520285913473818,0.35742632244373035,0.465793191222474,Yes,No Holiday,5,56,0,84,Winter,0,0,-5.8,1941,2
6,20/01/2018,-3,0.9898109221830964,0.5685079421382397,0.523571205791086,0.20910599315539002,0.7714656314346939,0.25268037244677544,0.2839371394366026,0.6202258695686418,0.4056845480535149,0.4273134614340961,Yes,No Holiday,12,55,0,325,Winter,0,0.85,5.3,904,2.6
7,06/07/2018,14.2,0.29754212708212435,0.6827958878129721,0.4635299206711352,0.6383420140482485,0.9965144365560263,0.0648965653963387,0.22099420614540577,0.5572084814337233,0.6526596634654643,0.11716692335903645,Yes,No Holiday,20,55,0,2223,Summer,0,0.05,23.8,2000,2.3
8,17/02/2018,-21.7,0.6418401417322457,0.5940870295744389,0.7439953410066664,0.4419053115416318,0.4728935440070927,0.0857267735991627,0.26945231948047876,0.6821903767502077,0.6020495151006185,0.565843913005665,Yes,Holiday,17,17,0,250,Winter,0,0.79,0.6,2000,3.3
9,07/10/2018,-1.1,0.6888804733753204,0.18733695638366044,0.4083370117004961,0.8606492762919515,0.7535766505170614,0.5448710771743208,0.9208608884364367,0.5317142639143969,0.4071165442606313,0.9288210934028029,Yes,No Holiday,23,38,0,840,Autumn,0,0,12.9,2000,1.5
10,12/05/2018,13.9,0.35324897710233927,0.267088868888095,0.35018355608917773,0.5665545226074755,0.6019549136981368,0.14479963947087526,0.6928586231078953,0.501197079166159,0.41113053285966566,0.5769172301515937,Yes,No Holiday,17,98,1.5,24,Spring,0,0.08,14.3,270,0.7
11,14/03/2018,7.1,0.056244694627821445,0.17662724130786955,0.8603358308319002,0.29072451824322343,0.206794376950711,0.19159066025167704,0.8898842767812312,0.4789179006967706,0.5230851699328707,0.015572428703308105,Yes,No Holiday,15,39,0,1025,Spring,0,2.09,21.7,1979,3.3
